random	n_interactions	number_observed
1	34	33
2	35	33
3	30	33
4	35	33
5	31	33
6	30	33
7	32	33
8	31	33
9	31	33
10	29	33
11	31	33
12	27	33
13	33	33
14	29	33
15	30	33
16	30	33
17	31	33
18	29	33
19	33	33
20	28	33
21	27	33
22	31	33
23	32	33
24	30	33
25	32	33
26	32	33
27	29	33
28	31	33
29	28	33
30	36	33
31	32	33
32	33	33
33	33	33
34	31	33
35	29	33
36	32	33
37	29	33
38	30	33
39	33	33
40	32	33
41	31	33
42	34	33
43	29	33
44	35	33
45	32	33
46	31	33
47	31	33
48	34	33
49	25	33
50	32	33
51	29	33
52	32	33
53	34	33
54	28	33
55	34	33
56	31	33
57	32	33
58	28	33
59	31	33
60	33	33
61	30	33
62	35	33
63	32	33
64	32	33
65	34	33
66	29	33
67	36	33
68	34	33
69	27	33
70	31	33
71	30	33
72	32	33
73	31	33
74	32	33
75	31	33
76	29	33
77	30	33
78	31	33
79	28	33
80	31	33
81	32	33
82	30	33
83	30	33
84	30	33
85	24	33
86	29	33
87	30	33
88	34	33
89	33	33
90	29	33
91	34	33
92	31	33
93	32	33
94	33	33
95	27	33
96	34	33
97	33	33
98	32	33
99	32	33
100	33	33
101	29	33
102	28	33
103	26	33
104	28	33
105	30	33
106	33	33
107	31	33
108	31	33
109	32	33
110	32	33
111	30	33
112	36	33
113	26	33
114	36	33
115	32	33
116	33	33
117	31	33
118	38	33
119	27	33
120	28	33
121	32	33
122	28	33
123	29	33
124	32	33
125	32	33
126	27	33
127	28	33
128	35	33
129	30	33
130	28	33
131	30	33
132	33	33
133	23	33
134	30	33
135	28	33
136	30	33
137	30	33
138	29	33
139	30	33
140	34	33
141	35	33
142	30	33
143	33	33
144	32	33
145	28	33
146	26	33
147	32	33
148	36	33
149	32	33
150	32	33
151	29	33
152	32	33
153	32	33
154	32	33
155	29	33
156	30	33
157	29	33
158	31	33
159	28	33
160	28	33
161	30	33
162	29	33
163	30	33
164	29	33
165	29	33
166	37	33
167	32	33
168	32	33
169	32	33
170	32	33
171	28	33
172	30	33
173	33	33
174	29	33
175	34	33
176	28	33
177	28	33
178	29	33
179	30	33
180	30	33
181	27	33
182	27	33
183	27	33
184	34	33
185	29	33
186	33	33
187	33	33
188	32	33
189	31	33
190	29	33
191	29	33
192	30	33
193	32	33
194	27	33
195	30	33
196	30	33
197	32	33
198	29	33
199	30	33
200	31	33
201	33	33
202	29	33
203	32	33
204	28	33
205	28	33
206	31	33
207	27	33
208	28	33
209	32	33
210	31	33
211	31	33
212	34	33
213	28	33
214	32	33
215	33	33
216	29	33
217	29	33
218	29	33
219	32	33
220	37	33
221	32	33
222	32	33
223	30	33
224	34	33
225	35	33
226	34	33
227	30	33
228	29	33
229	26	33
230	34	33
231	31	33
232	35	33
233	28	33
234	29	33
235	31	33
236	26	33
237	31	33
238	28	33
239	31	33
240	33	33
241	22	33
242	33	33
243	33	33
244	34	33
245	34	33
246	30	33
247	29	33
248	31	33
249	25	33
250	28	33
251	32	33
252	33	33
253	36	33
254	30	33
255	35	33
256	28	33
257	29	33
258	27	33
259	27	33
260	30	33
261	39	33
262	31	33
263	32	33
264	27	33
265	33	33
266	29	33
267	31	33
268	32	33
269	31	33
270	32	33
271	35	33
272	30	33
273	32	33
274	30	33
275	30	33
276	31	33
277	30	33
278	30	33
279	28	33
280	28	33
281	32	33
282	30	33
283	29	33
284	30	33
285	31	33
286	35	33
287	30	33
288	29	33
289	36	33
290	28	33
291	30	33
292	32	33
293	29	33
294	34	33
295	35	33
296	33	33
297	32	33
298	26	33
299	32	33
300	33	33
301	29	33
302	36	33
303	30	33
304	28	33
305	32	33
306	30	33
307	29	33
308	28	33
309	28	33
310	32	33
311	34	33
312	29	33
313	31	33
314	34	33
315	24	33
316	29	33
317	35	33
318	31	33
319	28	33
320	31	33
321	29	33
322	27	33
323	28	33
324	30	33
325	31	33
326	29	33
327	31	33
328	30	33
329	31	33
330	34	33
331	28	33
332	30	33
333	31	33
334	33	33
335	30	33
336	27	33
337	30	33
338	36	33
339	32	33
340	31	33
341	31	33
342	33	33
343	29	33
344	29	33
345	29	33
346	31	33
347	30	33
348	27	33
349	25	33
350	27	33
351	26	33
352	33	33
353	32	33
354	33	33
355	27	33
356	31	33
357	28	33
358	34	33
359	31	33
360	32	33
361	31	33
362	29	33
363	32	33
364	30	33
365	26	33
366	31	33
367	34	33
368	35	33
369	30	33
370	29	33
371	27	33
372	33	33
373	31	33
374	30	33
375	33	33
376	30	33
377	34	33
378	35	33
379	26	33
380	34	33
381	27	33
382	31	33
383	35	33
384	32	33
385	29	33
386	33	33
387	29	33
388	31	33
389	34	33
390	31	33
391	23	33
392	26	33
393	30	33
394	31	33
395	31	33
396	32	33
397	31	33
398	33	33
399	25	33
400	30	33
401	27	33
402	26	33
403	32	33
404	26	33
405	29	33
406	28	33
407	34	33
408	28	33
409	29	33
410	34	33
411	33	33
412	29	33
413	27	33
414	30	33
415	29	33
416	30	33
417	27	33
418	27	33
419	29	33
420	28	33
421	28	33
422	31	33
423	22	33
424	33	33
425	32	33
426	29	33
427	30	33
428	34	33
429	30	33
430	35	33
431	32	33
432	27	33
433	33	33
434	27	33
435	32	33
436	33	33
437	33	33
438	33	33
439	29	33
440	30	33
441	32	33
442	33	33
443	26	33
444	33	33
445	30	33
446	28	33
447	30	33
448	32	33
449	30	33
450	33	33
451	29	33
452	28	33
453	30	33
454	30	33
455	33	33
456	29	33
457	33	33
458	27	33
459	21	33
460	30	33
461	32	33
462	27	33
463	35	33
464	30	33
465	33	33
466	30	33
467	30	33
468	26	33
469	30	33
470	27	33
471	30	33
472	31	33
473	32	33
474	31	33
475	31	33
476	34	33
477	32	33
478	27	33
479	29	33
480	30	33
481	29	33
482	28	33
483	34	33
484	27	33
485	29	33
486	30	33
487	33	33
488	28	33
489	32	33
490	33	33
491	27	33
492	26	33
493	29	33
494	30	33
495	33	33
496	32	33
497	27	33
498	28	33
499	34	33
500	31	33
501	29	33
502	30	33
503	38	33
504	25	33
505	27	33
506	34	33
507	32	33
508	31	33
509	27	33
510	33	33
511	33	33
512	33	33
513	30	33
514	35	33
515	28	33
516	29	33
517	31	33
518	30	33
519	27	33
520	31	33
521	26	33
522	32	33
523	35	33
524	28	33
525	25	33
526	30	33
527	31	33
528	35	33
529	27	33
530	34	33
531	32	33
532	29	33
533	30	33
534	31	33
535	33	33
536	31	33
537	32	33
538	25	33
539	30	33
540	32	33
541	32	33
542	29	33
543	33	33
544	25	33
545	33	33
546	30	33
547	35	33
548	31	33
549	29	33
550	32	33
551	30	33
552	30	33
553	34	33
554	33	33
555	33	33
556	25	33
557	28	33
558	35	33
559	27	33
560	31	33
561	31	33
562	30	33
563	33	33
564	31	33
565	30	33
566	31	33
567	30	33
568	30	33
569	31	33
570	30	33
571	31	33
572	32	33
573	28	33
574	34	33
575	32	33
576	29	33
577	28	33
578	30	33
579	26	33
580	31	33
581	31	33
582	29	33
583	27	33
584	27	33
585	29	33
586	31	33
587	35	33
588	33	33
589	35	33
590	27	33
591	33	33
592	29	33
593	31	33
594	22	33
595	32	33
596	30	33
597	31	33
598	30	33
599	33	33
600	26	33
601	28	33
602	33	33
603	26	33
604	30	33
605	31	33
606	34	33
607	30	33
608	30	33
609	36	33
610	27	33
611	30	33
612	28	33
613	34	33
614	34	33
615	32	33
616	28	33
617	30	33
618	33	33
619	32	33
620	28	33
621	32	33
622	31	33
623	34	33
624	27	33
625	36	33
626	32	33
627	30	33
628	27	33
629	35	33
630	28	33
631	29	33
632	27	33
633	27	33
634	34	33
635	30	33
636	27	33
637	31	33
638	32	33
639	33	33
640	34	33
641	30	33
642	29	33
643	33	33
644	32	33
645	27	33
646	26	33
647	33	33
648	28	33
649	31	33
650	32	33
651	27	33
652	31	33
653	34	33
654	31	33
655	34	33
656	29	33
657	27	33
658	35	33
659	29	33
660	31	33
661	32	33
662	28	33
663	28	33
664	28	33
665	31	33
666	29	33
667	29	33
668	29	33
669	31	33
670	31	33
671	32	33
672	27	33
673	32	33
674	34	33
675	28	33
676	30	33
677	33	33
678	29	33
679	29	33
680	35	33
681	34	33
682	35	33
683	28	33
684	32	33
685	34	33
686	30	33
687	29	33
688	25	33
689	28	33
690	29	33
691	31	33
692	32	33
693	27	33
694	34	33
695	23	33
696	31	33
697	29	33
698	29	33
699	32	33
700	29	33
701	33	33
702	25	33
703	34	33
704	30	33
705	29	33
706	34	33
707	26	33
708	28	33
709	29	33
710	29	33
711	28	33
712	35	33
713	33	33
714	31	33
715	30	33
716	28	33
717	31	33
718	33	33
719	31	33
720	32	33
721	30	33
722	30	33
723	32	33
724	32	33
725	34	33
726	31	33
727	30	33
728	30	33
729	34	33
730	27	33
731	31	33
732	33	33
733	32	33
734	30	33
735	31	33
736	37	33
737	33	33
738	31	33
739	29	33
740	34	33
741	32	33
742	33	33
743	31	33
744	31	33
745	30	33
746	35	33
747	27	33
748	29	33
749	31	33
750	35	33
751	35	33
752	29	33
753	34	33
754	34	33
755	35	33
756	31	33
757	30	33
758	32	33
759	32	33
760	34	33
761	35	33
762	29	33
763	30	33
764	29	33
765	26	33
766	27	33
767	30	33
768	31	33
769	30	33
770	31	33
771	32	33
772	35	33
773	34	33
774	29	33
775	32	33
776	28	33
777	30	33
778	31	33
779	33	33
780	32	33
781	29	33
782	35	33
783	30	33
784	35	33
785	30	33
786	28	33
787	36	33
788	25	33
789	30	33
790	28	33
791	33	33
792	29	33
793	34	33
794	34	33
795	32	33
796	30	33
797	29	33
798	28	33
799	30	33
800	32	33
801	33	33
802	30	33
803	28	33
804	36	33
805	34	33
806	28	33
807	33	33
808	34	33
809	33	33
810	31	33
811	32	33
812	31	33
813	32	33
814	31	33
815	29	33
816	29	33
817	34	33
818	29	33
819	34	33
820	31	33
821	31	33
822	32	33
