random	n_interactions	number_observed
1	44	44
2	39	44
3	37	44
4	38	44
5	50	44
6	39	44
7	36	44
8	37	44
9	30	44
10	34	44
11	35	44
12	50	44
13	38	44
14	36	44
15	40	44
16	48	44
17	44	44
18	30	44
19	46	44
20	54	44
21	37	44
22	42	44
23	39	44
24	36	44
25	37	44
26	37	44
27	43	44
28	48	44
29	45	44
30	39	44
31	36	44
32	42	44
33	40	44
34	51	44
35	40	44
36	43	44
37	40	44
38	42	44
39	33	44
40	57	44
41	39	44
42	46	44
43	31	44
44	37	44
45	46	44
46	32	44
47	41	44
48	47	44
49	44	44
50	36	44
51	41	44
52	32	44
53	50	44
54	35	44
55	26	44
56	42	44
57	39	44
58	39	44
59	34	44
60	36	44
61	49	44
62	44	44
63	36	44
64	31	44
65	56	44
66	48	44
67	37	44
68	26	44
69	40	44
70	33	44
71	48	44
72	38	44
73	35	44
74	41	44
75	38	44
76	56	44
77	48	44
78	42	44
79	42	44
80	44	44
81	51	44
82	32	44
83	44	44
84	48	44
85	43	44
86	46	44
87	37	44
88	33	44
89	39	44
90	57	44
91	51	44
92	33	44
93	42	44
94	35	44
95	38	44
96	43	44
97	37	44
98	33	44
99	38	44
100	40	44
101	43	44
102	42	44
103	45	44
104	37	44
105	42	44
106	44	44
107	44	44
108	40	44
109	39	44
110	40	44
111	41	44
112	38	44
113	45	44
114	34	44
115	35	44
116	39	44
117	57	44
118	43	44
119	33	44
120	37	44
121	39	44
122	40	44
123	45	44
124	35	44
125	51	44
126	37	44
127	43	44
128	31	44
129	33	44
130	33	44
131	37	44
132	41	44
133	41	44
134	46	44
135	33	44
136	38	44
137	40	44
138	30	44
139	41	44
140	32	44
141	42	44
142	30	44
143	35	44
144	38	44
145	41	44
146	36	44
147	41	44
148	49	44
149	36	44
150	44	44
151	40	44
152	38	44
153	39	44
154	39	44
155	41	44
156	38	44
157	33	44
158	41	44
159	46	44
160	39	44
161	51	44
162	50	44
163	36	44
164	35	44
165	50	44
166	35	44
167	39	44
168	42	44
169	42	44
170	32	44
171	33	44
172	40	44
173	49	44
174	40	44
175	43	44
176	38	44
177	36	44
178	44	44
179	41	44
180	32	44
181	39	44
182	35	44
183	50	44
184	41	44
185	55	44
186	34	44
187	29	44
188	44	44
189	33	44
190	42	44
191	32	44
192	41	44
193	34	44
194	51	44
