symbol1	symbol2	experimental	database	textmining	combined_score	gene1	gene2	ID	gene	pp
ASCC3	ASCC2	950	900	602	997	ENSP00000358159	ENSP00000380877	ASCC3ASCC2	ASCC3	pp
APC	AXIN2	415	900	875	992	ENSP00000257430	ENSP00000302625	AXIN2APC	APC	pp
ATR	BRCA1	566	600	121	834	ENSP00000343741	ENSP00000418960	BRCA1ATR	ATR	pp
BRCA2	BRCA1	567	800	920	992	ENSP00000369497	ENSP00000418960	BRCA2BRCA1	BRCA2	pp
APEX1	EP300	483	0	637	804	ENSP00000216714	ENSP00000263253	EP300APEX1	APEX1	pp
EP300	BRCA1	483	0	763	872	ENSP00000263253	ENSP00000418960	EP300BRCA1	EP300	pp
FANCM	FANCC	790	900	0	978	ENSP00000267430	ENSP00000289081	FANCMFANCC	FANCM	pp
HMG20B	BRCA2	483	0	857	922	ENSP00000328269	ENSP00000369497	HMG20BBRCA2	HMG20B	pp
KANSL1	KANSL3	228	800	0	838	ENSP00000262419	ENSP00000396749	KANSL3KANSL1	KANSL1	pp
CHD3	KDM1A	551	600	0	812	ENSP00000369716	ENSP00000383042	KDM1ACHD3	CHD3	pp
DNMT1	KDM1A	483	0	712	844	ENSP00000352516	ENSP00000383042	KDM1ADNMT1	DNMT1	pp
HMG20B	KDM1A	715	800	349	959	ENSP00000328269	ENSP00000383042	KDM1AHMG20B	HMG20B	pp
EP300	KDM6A	212	600	497	827	ENSP00000263253	ENSP00000367203	KDM6AEP300	EP300	pp
KDM6A	KMT2B	294	0	904	929	ENSP00000367203	ENSP00000398837	KMT2BKDM6A	KDM6A	pp
KMT2D	KDM6A	755	900	943	998	ENSP00000301067	ENSP00000367203	KMT2DKDM6A	KMT2D	pp
KDM6B	KMT2D	260	540	464	801	ENSP00000254846	ENSP00000301067	KMT2DKDM6B	KDM6B	pp
MLH1	BRCA1	644	0	797	924	ENSP00000231790	ENSP00000418960	MLH1BRCA1	MLH1	pp
MLH1	EXO1	628	600	959	993	ENSP00000231790	ENSP00000355506	MLH1EXO1	MLH1	pp
MLH3	EXO1	135	0	883	894	ENSP00000348020	ENSP00000355506	MLH3EXO1	MLH3	pp
MLH1	MLH3	579	800	953	995	ENSP00000231790	ENSP00000348020	MLH3MLH1	MLH1	pp
MSH2	BRCA1	505	0	806	899	ENSP00000233146	ENSP00000418960	MSH2BRCA1	MSH2	pp
MSH2	EXO1	565	600	941	988	ENSP00000233146	ENSP00000355506	MSH2EXO1	MSH2	pp
MSH2	KDM1A	159	900	0	912	ENSP00000233146	ENSP00000383042	MSH2KDM1A	MSH2	pp
MLH1	MSH2	675	600	571	939	ENSP00000231790	ENSP00000233146	MSH2MLH1	MLH1	pp
MSH2	MLH3	309	540	750	913	ENSP00000233146	ENSP00000348020	MSH2MLH3	MSH2	pp
MSH3	EXO1	377	600	808	947	ENSP00000265081	ENSP00000355506	MSH3EXO1	MSH3	pp
MLH1	MSH3	615	600	953	992	ENSP00000231790	ENSP00000265081	MSH3MLH1	MLH1	pp
MSH2	MSH3	973	800	953	999	ENSP00000233146	ENSP00000265081	MSH3MSH2	MSH2	pp
MSL2	ACTL6A	0	900	0	900	ENSP00000311827	ENSP00000397552	MSL2ACTL6A	MSL2	pp
ACTL6A	NFRKB	483	900	0	946	ENSP00000397552	ENSP00000436926	NFRKBACTL6A	ACTL6A	pp
PALB2	BRCA1	680	600	914	987	ENSP00000261584	ENSP00000418960	PALB2BRCA1	PALB2	pp
PALB2	BRCA2	933	900	947	999	ENSP00000261584	ENSP00000369497	PALB2BRCA2	PALB2	pp
KDM6A	PAXIP1	772	900	920	998	ENSP00000367203	ENSP00000384048	PAXIP1KDM6A	KDM6A	pp
PAXIP1	KMT2B	282	0	861	895	ENSP00000384048	ENSP00000398837	PAXIP1KMT2B	PAXIP1	pp
KMT2D	PAXIP1	507	900	904	994	ENSP00000301067	ENSP00000384048	PAXIP1KMT2D	KMT2D	pp
AQR	PRPF19	989	900	0	998	ENSP00000156471	ENSP00000227524	PRPF19AQR	AQR	pp
RAD51	BRCA1	664	900	912	996	ENSP00000372088	ENSP00000418960	RAD51BRCA1	RAD51	pp
BRCA2	RAD51	936	900	951	999	ENSP00000369497	ENSP00000372088	RAD51BRCA2	BRCA2	pp
PALB2	RAD51	483	600	894	976	ENSP00000261584	ENSP00000372088	RAD51PALB2	PALB2	pp
KANSL1	RBBP5	270	900	0	923	ENSP00000262419	ENSP00000264515	RBBP5KANSL1	KANSL1	pp
RBBP5	KDM6A	879	900	735	996	ENSP00000264515	ENSP00000367203	RBBP5KDM6A	RBBP5	pp
