random	n_interactions	number_observed
1	13	19
2	14	19
3	10	19
4	13	19
5	18	19
6	15	19
7	11	19
8	14	19
9	15	19
10	17	19
11	12	19
12	15	19
13	14	19
14	16	19
15	15	19
16	12	19
17	12	19
18	15	19
19	12	19
20	13	19
21	15	19
22	15	19
23	11	19
24	16	19
25	13	19
26	11	19
27	15	19
28	15	19
29	15	19
30	15	19
31	12	19
32	13	19
33	15	19
34	16	19
35	11	19
36	12	19
37	14	19
38	14	19
39	12	19
40	15	19
41	15	19
42	12	19
43	13	19
44	16	19
45	13	19
46	15	19
47	15	19
48	11	19
49	14	19
50	17	19
51	17	19
52	15	19
53	20	19
54	12	19
55	17	19
56	11	19
57	10	19
58	14	19
59	16	19
60	13	19
61	15	19
62	13	19
63	12	19
64	17	19
65	17	19
66	14	19
67	12	19
68	10	19
69	13	19
70	15	19
71	18	19
72	16	19
73	14	19
74	16	19
75	14	19
76	10	19
77	11	19
78	14	19
79	13	19
80	11	19
81	17	19
82	13	19
83	11	19
84	13	19
85	12	19
86	16	19
87	12	19
88	11	19
89	10	19
90	15	19
91	13	19
92	14	19
93	11	19
94	13	19
95	17	19
96	15	19
97	14	19
98	15	19
99	8	19
100	10	19
101	17	19
102	12	19
103	18	19
104	11	19
105	15	19
106	11	19
107	12	19
108	12	19
109	13	19
110	12	19
111	17	19
112	16	19
113	19	19
114	16	19
115	17	19
116	16	19
117	12	19
118	12	19
119	16	19
120	13	19
121	11	19
122	12	19
123	14	19
124	16	19
125	15	19
126	16	19
127	10	19
128	15	19
129	17	19
130	15	19
131	14	19
132	11	19
133	11	19
134	15	19
135	13	19
136	12	19
137	13	19
138	15	19
139	15	19
140	11	19
141	17	19
142	13	19
143	14	19
144	19	19
145	13	19
146	15	19
147	11	19
148	12	19
149	15	19
150	16	19
151	12	19
152	15	19
153	16	19
154	18	19
155	12	19
156	16	19
157	16	19
158	14	19
159	12	19
160	15	19
161	12	19
162	14	19
163	14	19
164	18	19
165	15	19
166	18	19
167	13	19
168	17	19
169	12	19
170	20	19
171	11	19
172	7	19
173	10	19
174	12	19
175	14	19
176	19	19
177	12	19
178	16	19
179	16	19
180	13	19
181	15	19
182	16	19
183	15	19
184	14	19
185	13	19
186	13	19
187	13	19
188	14	19
189	9	19
190	8	19
191	10	19
192	12	19
193	14	19
194	13	19
195	16	19
196	15	19
197	8	19
198	14	19
199	11	19
200	17	19
201	11	19
202	17	19
203	13	19
204	12	19
205	16	19
206	15	19
207	21	19
208	14	19
209	12	19
210	10	19
211	15	19
212	13	19
213	15	19
214	15	19
215	14	19
216	13	19
217	13	19
218	15	19
219	19	19
220	13	19
221	15	19
222	15	19
223	9	19
224	14	19
225	12	19
226	12	19
227	11	19
228	12	19
229	16	19
230	11	19
231	12	19
232	11	19
233	12	19
234	15	19
235	12	19
236	12	19
237	14	19
238	15	19
239	12	19
240	17	19
241	14	19
242	9	19
243	17	19
244	17	19
245	15	19
246	10	19
247	18	19
248	16	19
249	22	19
250	12	19
251	16	19
252	16	19
253	12	19
254	11	19
255	13	19
256	19	19
257	16	19
258	13	19
259	15	19
260	15	19
261	13	19
262	12	19
263	16	19
264	12	19
265	14	19
266	14	19
267	13	19
268	13	19
269	18	19
270	13	19
271	13	19
272	13	19
273	10	19
274	12	19
275	16	19
276	17	19
277	15	19
278	14	19
279	11	19
280	11	19
281	14	19
282	15	19
283	17	19
284	17	19
285	15	19
286	17	19
287	15	19
288	9	19
289	12	19
290	18	19
291	17	19
292	14	19
293	11	19
294	17	19
295	12	19
296	12	19
297	10	19
298	15	19
299	10	19
300	15	19
301	19	19
302	15	19
303	18	19
304	14	19
305	10	19
306	15	19
307	16	19
308	14	19
309	15	19
310	12	19
311	17	19
312	14	19
313	14	19
314	14	19
315	18	19
316	13	19
317	15	19
318	13	19
319	12	19
320	16	19
321	14	19
322	11	19
323	11	19
324	16	19
325	13	19
326	14	19
327	14	19
328	16	19
329	16	19
330	13	19
331	9	19
332	17	19
333	11	19
334	11	19
335	15	19
336	12	19
337	12	19
338	14	19
339	13	19
340	13	19
341	13	19
342	15	19
343	10	19
344	13	19
345	14	19
346	14	19
347	16	19
348	13	19
349	10	19
350	14	19
351	11	19
352	12	19
353	16	19
354	15	19
355	14	19
356	15	19
357	15	19
358	15	19
359	11	19
360	13	19
361	13	19
362	13	19
363	13	19
364	12	19
365	12	19
366	10	19
367	14	19
368	13	19
369	14	19
370	18	19
371	11	19
372	13	19
373	13	19
374	10	19
375	14	19
376	9	19
377	14	19
378	9	19
379	15	19
380	13	19
381	16	19
382	12	19
383	14	19
384	15	19
385	14	19
386	11	19
387	14	19
388	15	19
