gene	APOBEC_VAE2	Deletions_VAE	dHR_ICA	dHR_VAE1	dHR_VAE2	dMMR_ICA	dMMR_VAE1	dMMR_VAE2	Ploidy	Sig.11+19	Sig.17	Sig.MMR2+ampli.	Small indels 2bp	Smoking_ICA	UV_ICA	validation
ACTL6A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	FDR1
APC	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	FDR1
APEX1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
AQR	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	FDR1
ASCC2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	FDR1
BRCA1	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0	FDR1
BRCA2	0	0	0.25	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0	FDR1
CHD3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FDR1
DNMT1	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	FDR1
EP300	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FDR1
EXO1	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	FDR1
EYA2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
FANCC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	FDR1
HERC2	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	FDR1
HMG20B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
KANSL1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	FDR1
MAD2L2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	FDR1
MDN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	FDR1
MLH1	0	0	0	0	0	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	FDR1
MSH2	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	FDR1
MSH3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FDR1
MTOR	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	FDR1
NCAPD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
NCAPG2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	FDR1
NFRKB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	FDR1
PALB2	0	0	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	FDR1
PAXIP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FDR1
PER1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	FDR1
PIK3C2B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FDR1
POT1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	FDR1
RAD51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FDR1
RBBP5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FDR1
RECQL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
REV3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	FDR1
RIF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	FDR1
SETD1A	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	FDR1
SMC1B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	FDR1
SMC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
TOP2A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	FDR1
TP53BP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
TRRAP	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	FDR1
TTI2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	FDR1
