gene	APOBEC_ICA	APOBEC_VAE1	APOBEC_VAE2	DBS2	Deletions_ICA	Deletions_VAE	dHR_ICA	dHR_VAE1	dHR_VAE2	dMMR_ICA	dMMR_VAE1	dMMR_VAE2	Mitochondria	Ploidy	Sig.1	Sig.11+19	Sig.17	Sig.5_VAE	Sig.MMR2+ampli.	Small indels 2bp	Smoking_ICA	Smoking_VAE	UV_ICA	X-hypermutation	validation
ACTL6A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	FDR1
ANKRD28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR2
APC	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	FDR1
APEX1	0	0	0.333333333333333	0	0	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR1
AQR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	FDR1
ASCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	FDR1
ASCC3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR2
ATR	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0.333333333333333	0	0	0.333333333333333	0	0	0	0	0	0	FDR2
AXIN2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR2
BRCA1	0	0	0	0.125	0	0	0.125	0.125	0.125	0	0	0	0.125	0	0	0	0	0	0.125	0	0.125	0	0	0.125	FDR1
BRCA2	0	0	0.166666666666667	0	0	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	FDR1
CCNA1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FDR2
CHD3	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	FDR1
