symbol1	symbol2	score	gene1	gene2
TSC1	TSC2	5.81424803219045	7248	7249
SDHA	SDHB	5.79200472683759	6389	6390
RRM1	RRM2	5.7438602961872	6240	6241
CREBBP	EP300	5.72156430659834	1387	2033
HDAC1	HDAC2	5.70827800878308	3065	3066
RRM2B	RRM1	5.68549774717034	50484	6240
FANCA	FANCG	5.6749176235948	2175	2189
MSH6	MLH1	5.66737843027728	2956	4292
RFC4	RFC5	5.66295515310073	5984	5985
MSH6	MSH3	5.65854469102828	2956	4437
FANCF	FANCG	5.64741852962035	2188	2189
FANCA	FANCF	5.64549580513818	2175	2188
FANCA	FANCE	5.6356247411985	2175	2178
FANCC	FANCG	5.62867991132313	2176	2189
FANCE	FANCG	5.62738771377705	2178	2189
POLE3	POLE4	5.61891591091581	54107	56655
FANCA	FANCC	5.61853701563369	2175	2176
MSH6	MSH2	5.61476914820612	2956	4436
FANCE	FANCF	5.6140646581791	2178	2188
MSH2	MSH3	5.61132280814858	4436	4437
CCNB1	CCNB2	5.60785793368856	891	9133
CDK2	CCNE1	5.60619138158015	1017	898
FANCC	FANCF	5.59914789009011	2176	2188
CCNB1	CDK1	5.59774174200261	891	983
RFC2	RFC4	5.58000476535604	5982	5984
RAD51C	XRCC3	5.57479970835714	5889	7517
FANCC	FANCE	5.57179229008405	2176	2178
MLH1	MSH2	5.57020160711134	4292	4436
RFC2	RFC5	5.55320822972118	5982	5985
TOP2A	TOP2B	5.5506064787949	7153	7155
SLX1A	SLX1B	5.54435063612389	548593	79008
RAD50	MRE11	5.53552070552702	10111	4361
FANCD2	FANCE	5.52063406091411	2177	2178
RAD51	RAD51C	5.51490183876172	5888	5889
CRY1	CRY2	5.50769026704274	1407	1408
RAD51	BRCA2	5.50329704647927	5888	675
EME1	MUS81	5.49624344015137	146956	80198
RFC3	RFC4	5.49584748654747	5983	5984
POLI	REV1	5.4855783940117	11201	51455
EXT1	EXT2	5.481431925111	2131	2132
RAD51B	RAD51D	5.47173642823878	5890	5892
EZH2	EED	5.45385278863414	2146	8726
HUS1	RAD9A	5.4466866621087	3364	5883
FANCA	FANCL	5.44166125644908	2175	55120
EZH2	SUZ12	5.436272506884	2146	23512
POLI	POLH	5.42927992085353	11201	5429
RPA4	RPA2	5.42133972226164	29935	6118
UBE2T	FANCL	5.41965399989315	29089	55120
CDK4	CCND1	5.4117176714829	1019	595
RAD51	XRCC3	5.40724526753019	5888	7517
CDK7	CCNH	5.40531181137767	1022	902
FANCM	FAAP24	5.40188660578655	57697	91442
SDHB	SDHC	5.39915009717648	6390	6391
SUZ12	EED	5.39881818499865	23512	8726
PADI1	PADI3	5.39632247825934	29943	51702
RBBP4	RBBP7	5.39048565335653	5928	5931
SDHA	SDHC	5.38919229967122	6389	6391
RAD51D	XRCC2	5.38506325850366	5892	7516
CDK4	RB1	5.38070742117846	1019	5925
HMBS	UROD	5.37759369181055	3145	7389
RRM2B	RRM2	5.3749884648388	50484	6241
SDHB	SDHD	5.37165974049017	6390	6392
SMARCA4	SMARCB1	5.37118673732756	6597	6598
MSH6	PMS2	5.36595652294349	2956	5395
CUL4B	CUL4A	5.36144862963352	8450	8451
FANCD2	FANCG	5.36139753962789	2177	2189
RFC3	RFC5	5.35896474106489	5983	5985
BARD1	BRCA1	5.35763429797699	580	672
RB1	CCND1	5.35530818923772	5925	595
RAD23A	RAD23B	5.35453670961441	5886	5887
ERCC1	ERCC4	5.35414238961194	2067	2072
SMARCA4	ARID1A	5.35224571745065	6597	8289
SMARCB1	SMARCE1	5.35050175054866	6598	6605
SMARCB1	SMARCC1	5.35044269456929	6598	6599
MEN1	KMT2A	5.34315056083664	4221	4297
SDHC	SDHD	5.33658375375788	6391	6392
YWHAE	YWHAG	5.33555509999831	7531	7532
FANCG	FANCL	5.33340496065965	2189	55120
FANCE	FANCM	5.33334644353903	2178	57697
RAD1	RAD9A	5.33259843064539	5810	5883
RFC1	RFC3	5.33257599704663	5981	5983
RAD50	NBN	5.33189913717012	10111	4683
FANCD2	FANCI	5.32494899556923	2177	55215
FANCL	FANCI	5.32438534099546	55120	55215
HUS1	RAD1	5.32268097321775	3364	5810
FANCL	FANCM	5.32234878652386	55120	57697
HMGB1	HMGB2	5.31822457178488	3146	3148
PADI4	PADI3	5.31746598992074	23569	51702
SMARCE1	ARID1A	5.31569368483762	6605	8289
YWHAE	YWHAZ	5.31477774119435	7531	7534
FANCA	FANCM	5.31444154221199	2175	57697
MRE11	NBN	5.31323828695698	4361	4683
CCNB2	CDK1	5.31176643585474	9133	983
SMARCC1	ARID1A	5.30823053007704	6599	8289
FANCA	FANCB	5.30725785510324	2175	2187
SMARCC1	SMARCE1	5.30488585563071	6599	6605
GADD45G	GADD45A	5.30085747167694	10912	1647
CHEK2	ATM	5.300025219569	11200	472
PER1	PER3	5.29574957861642	5187	8863
FANCL	FAAP100	5.29261557123131	55120	80233
FANCF	FANCM	5.29118048591542	2188	57697
FANCA	FANCD2	5.2900455146967	2175	2177
FANCD2	FANCL	5.28399883935644	2177	55120
SMARCB1	ARID1A	5.2836188096154	6598	8289
YWHAE	YWHAH	5.28305953493993	7531	7533
ATM	TP53	5.28293271845753	472	7157
SUPT20H	TADA2B	5.27811769412905	55578	93624
WDR48	USP1	5.27788756016737	57599	7398
RPA1	RPA3	5.27674723859942	6117	6119
YWHAB	YWHAE	5.27394492533655	7529	7531
RFC2	RFC3	5.26913771508836	5982	5983
POLE3	CHRAC1	5.26910770797196	54107	54108
LIG4	NHEJ1	5.26458093735914	3981	79840
CDK4	CDKN2A	5.26408670496807	1019	1029
YWHAQ	YWHAE	5.26230639727172	10971	7531
YWHAB	YWHAG	5.25909509818844	7529	7532
KAT2A	KAT2B	5.25850775795313	2648	8850
PER1	PER2	5.25849188889159	5187	8864
CDK2	CDKN1B	5.2583190468982	1017	1027
FANCA	FAAP100	5.25726898658318	2175	80233
MAD2L2	REV3L	5.25351643575812	10459	5980
XRCC6	XRCC5	5.25296728131954	2547	7520
BRD7	PBRM1	5.25284776672777	29117	55193
H4C15	H4C14	5.25074904521671	554313	8370
CDKN1B	CCNE1	5.24772430694703	1027	898
BRCA2	PALB2	5.24753759127683	675	79728
MUS81	SLX4	5.24669765228807	80198	84464
CDK2	RB1	5.24350423840206	1017	5925
SMARCA4	SMARCC1	5.24261146732475	6597	6599
BLM	RMI1	5.24258714838311	641	80010
CDK4	CDKN1A	5.24169743499171	1019	1026
EHMT2	EHMT1	5.24139054864784	10919	79813
TADA1	TADA2B	5.24041748877295	117143	93624
MLH1	PMS2	5.23652864145879	4292	5395
CDK2	CDKN1A	5.23589849770007	1017	1026
SUMO3	SUMO2	5.2350636855981	6612	6613
FANCB	FANCG	5.23506245089318	2187	2189
RPS27A	UBB	5.23428699799661	6233	7314
FANCD2	FANCF	5.23413536323169	2177	2188
MLH1	MSH3	5.23005528105732	4292	4437
CHEK1	ATR	5.22983154147465	1111	545
FANCB	FANCL	5.22934990843271	2187	55120
RAD51	PALB2	5.22810257517057	5888	79728
CDKN1A	CCND1	5.22797944121388	1026	595
YWHAQ	YWHAG	5.22647846207613	10971	7532
SMARCA4	SMARCC2	5.22512081402055	6597	6601
TADA1	SUPT20H	5.22342674321521	117143	55578
FANCG	FANCM	5.22020356791291	2189	57697
YWHAB	YWHAZ	5.219112222485	7529	7534
FANCF	FAAP100	5.21801820789557	2188	80233
BLM	TOP3A	5.21716496694757	641	7156
