symbol1	symbol2	experimental	database	textmining	combined_score	gene1	gene2
CRY1	PER1	778	900	642	991	ENSP00000008527	ENSP00000314420
CRY1	PER2	972	900	875	999	ENSP00000008527	ENSP00000254657
CRY1	CSNK1D	538	600	118	822	ENSP00000008527	ENSP00000324464
CRY1	CRY2	691	900	0	967	ENSP00000008527	ENSP00000478187
CRY1	CLOCK	722	600	909	988	ENSP00000008527	ENSP00000308741
CRY1	CSNK1E	691	900	118	970	ENSP00000008527	ENSP00000380044
PPP5C	TSC1	62	900	0	902	ENSP00000012443	ENSP00000298552
PPP5C	HSP90AB1	764	720	359	953	ENSP00000012443	ENSP00000360609
ERCC1	DCLRE1C	0	900	0	900	ENSP00000013807	ENSP00000367527
ERCC1	POLD1	0	900	0	900	ENSP00000013807	ENSP00000406046
ERCC1	PRKDC	0	900	0	900	ENSP00000013807	ENSP00000313420
ERCC1	SLX4	736	600	903	988	ENSP00000013807	ENSP00000294008
ERCC1	XRCC6	0	900	0	900	ENSP00000013807	ENSP00000352257
ERCC1	XPA	788	600	951	995	ENSP00000013807	ENSP00000364270
ERCC1	MSH2	406	900	685	979	ENSP00000013807	ENSP00000233146
ERCC1	PHF21A	0	900	0	900	ENSP00000013807	ENSP00000398824
ERCC1	MSH6	106	900	0	906	ENSP00000013807	ENSP00000234420
ERCC1	RCOR1	0	900	0	900	ENSP00000013807	ENSP00000262241
ERCC1	ZSWIM7	0	900	0	900	ENSP00000013807	ENSP00000382218
ERCC1	ERCC4	990	900	959	999	ENSP00000013807	ENSP00000310520
ERCC1	XRCC5	0	900	0	900	ENSP00000013807	ENSP00000375978
ERCC1	ATM	0	900	0	900	ENSP00000013807	ENSP00000278616
ERCC1	MUS81	826	600	791	984	ENSP00000013807	ENSP00000307853
ERCC1	ERCC8	0	900	0	900	ENSP00000013807	ENSP00000265038
ERCC1	LIG4	0	900	0	900	ENSP00000013807	ENSP00000484288
ERCC1	CETN2	0	900	79	903	ENSP00000013807	ENSP00000359300
ERCC1	RPA1	358	600	382	827	ENSP00000013807	ENSP00000254719
ERCC1	FANCG	270	600	415	814	ENSP00000013807	ENSP00000367910
ERCC1	NHEJ1	0	900	0	900	ENSP00000013807	ENSP00000349313
ERCC1	FANCM	370	600	582	885	ENSP00000013807	ENSP00000267430
ERCC1	RAD23B	0	900	734	972	ENSP00000013807	ENSP00000350708
ERCC1	XPC	0	900	0	900	ENSP00000013807	ENSP00000285021
ERCC1	XRCC4	0	900	0	900	ENSP00000013807	ENSP00000421491
ERCC1	KDM1A	0	900	0	900	ENSP00000013807	ENSP00000383042
RFC2	RPA1	453	900	0	943	ENSP00000055077	ENSP00000254719
RFC2	ATR	47	900	0	900	ENSP00000055077	ENSP00000343741
RFC2	PCNA	981	600	380	994	ENSP00000055077	ENSP00000368458
RFC2	RAD1	131	900	634	965	ENSP00000055077	ENSP00000371469
RFC2	RPA2	190	900	0	915	ENSP00000055077	ENSP00000363017
