random	n_interactions	number_observed
1	71	85
2	55	85
3	63	85
4	70	85
5	51	85
6	57	85
7	65	85
8	66	85
9	64	85
10	62	85
11	58	85
12	73	85
13	64	85
14	61	85
15	53	85
16	57	85
17	67	85
18	58	85
19	80	85
20	61	85
21	67	85
22	75	85
23	61	85
24	57	85
25	60	85
26	60	85
27	66	85
28	69	85
29	66	85
30	58	85
31	60	85
32	69	85
33	57	85
34	53	85
35	62	85
36	63	85
37	59	85
38	65	85
39	68	85
40	66	85
41	58	85
42	57	85
43	62	85
44	65	85
45	67	85
46	62	85
47	65	85
48	59	85
49	49	85
50	68	85
51	54	85
52	70	85
53	62	85
54	68	85
55	61	85
56	64	85
57	79	85
58	60	85
59	67	85
60	54	85
61	72	85
62	61	85
63	58	85
64	61	85
65	55	85
66	72	85
67	65	85
68	68	85
69	71	85
70	65	85
71	59	85
72	62	85
73	63	85
74	63	85
75	56	85
76	62	85
77	53	85
78	66	85
79	64	85
80	59	85
81	62	85
82	70	85
83	52	85
84	55	85
85	77	85
86	70	85
87	58	85
88	62	85
89	62	85
90	64	85
91	69	85
92	72	85
93	56	85
94	55	85
95	62	85
96	70	85
97	64	85
98	64	85
99	56	85
100	55	85
101	46	85
102	70	85
103	59	85
104	77	85
105	63	85
106	55	85
107	63	85
108	63	85
109	65	85
110	65	85
111	66	85
112	63	85
113	62	85
114	56	85
115	62	85
116	63	85
117	74	85
118	69	85
119	58	85
120	61	85
121	62	85
122	72	85
123	70	85
124	57	85
125	63	85
126	66	85
127	60	85
128	66	85
129	51	85
130	67	85
131	79	85
132	62	85
133	64	85
134	54	85
135	66	85
136	62	85
137	61	85
138	73	85
139	67	85
140	57	85
141	68	85
142	51	85
143	56	85
144	71	85
145	66	85
146	77	85
147	70	85
148	67	85
149	51	85
150	48	85
151	61	85
152	69	85
153	63	85
154	58	85
155	75	85
156	58	85
157	79	85
158	70	85
159	66	85
160	58	85
161	56	85
162	60	85
163	71	85
164	51	85
165	51	85
166	64	85
167	70	85
168	60	85
169	79	85
170	55	85
171	62	85
172	46	85
173	54	85
174	65	85
175	52	85
176	60	85
177	62	85
178	60	85
179	76	85
180	65	85
181	58	85
182	61	85
183	69	85
184	63	85
185	67	85
186	55	85
187	63	85
188	65	85
189	64	85
