random	n_interactions	number_observed
1	13	21
2	17	21
3	14	21
4	16	21
5	16	21
6	16	21
7	16	21
8	18	21
9	17	21
10	17	21
11	16	21
12	17	21
13	15	21
14	18	21
15	14	21
16	12	21
17	13	21
18	17	21
19	14	21
20	14	21
21	12	21
22	13	21
23	16	21
24	15	21
25	12	21
26	14	21
27	15	21
28	18	21
29	17	21
30	16	21
31	13	21
32	11	21
33	13	21
34	18	21
35	16	21
36	14	21
37	14	21
38	12	21
39	16	21
40	18	21
41	14	21
42	20	21
43	20	21
44	16	21
45	20	21
46	18	21
47	14	21
48	12	21
49	15	21
50	14	21
51	17	21
52	14	21
53	16	21
54	15	21
55	18	21
56	16	21
57	9	21
58	14	21
59	21	21
60	13	21
61	20	21
62	17	21
63	13	21
64	16	21
65	18	21
66	18	21
67	9	21
68	10	21
69	15	21
70	14	21
71	17	21
72	15	21
73	18	21
74	19	21
75	18	21
76	12	21
77	12	21
78	18	21
79	13	21
80	18	21
81	17	21
82	16	21
83	15	21
84	15	21
85	15	21
86	16	21
87	12	21
88	12	21
89	9	21
90	14	21
91	17	21
92	15	21
93	12	21
94	14	21
95	18	21
96	17	21
97	16	21
98	17	21
99	12	21
100	11	21
101	20	21
102	14	21
103	16	21
104	13	21
105	17	21
106	12	21
107	12	21
108	17	21
109	13	21
110	14	21
111	18	21
112	15	21
113	20	21
114	18	21
115	21	21
116	17	21
117	11	21
118	14	21
119	20	21
120	17	21
121	14	21
122	13	21
123	17	21
124	16	21
125	16	21
126	19	21
127	15	21
128	16	21
129	15	21
130	18	21
131	17	21
132	12	21
133	14	21
134	17	21
135	13	21
136	15	21
137	18	21
138	16	21
139	18	21
140	14	21
141	17	21
142	13	21
143	13	21
144	17	21
145	17	21
146	17	21
147	13	21
148	13	21
149	13	21
150	16	21
151	13	21
152	17	21
153	17	21
154	17	21
155	13	21
156	14	21
157	14	21
158	15	21
159	12	21
160	18	21
161	13	21
162	20	21
163	16	21
164	18	21
165	16	21
166	18	21
167	15	21
168	16	21
169	12	21
170	19	21
171	13	21
172	11	21
173	10	21
174	15	21
175	14	21
176	18	21
177	12	21
178	16	21
179	17	21
180	13	21
181	15	21
182	16	21
183	13	21
184	15	21
185	15	21
186	15	21
187	11	21
188	12	21
189	13	21
190	12	21
191	10	21
192	14	21
193	13	21
194	14	21
195	16	21
196	16	21
197	10	21
198	17	21
199	18	21
200	13	21
201	14	21
202	17	21
203	11	21
204	16	21
205	19	21
206	15	21
207	23	21
208	14	21
209	15	21
210	15	21
211	17	21
212	13	21
213	14	21
214	16	21
215	14	21
216	13	21
217	13	21
218	16	21
219	17	21
220	15	21
221	15	21
222	16	21
223	11	21
224	17	21
225	13	21
226	13	21
227	16	21
228	11	21
229	15	21
230	13	21
231	18	21
232	11	21
233	15	21
234	14	21
235	14	21
236	10	21
237	14	21
238	15	21
239	10	21
240	18	21
241	15	21
242	13	21
243	18	21
244	20	21
245	14	21
246	16	21
247	15	21
248	15	21
249	21	21
250	18	21
251	13	21
252	12	21
253	13	21
254	13	21
255	15	21
256	18	21
257	15	21
258	15	21
259	18	21
260	17	21
261	15	21
262	13	21
263	14	21
264	13	21
265	12	21
266	14	21
267	16	21
268	15	21
269	18	21
270	16	21
271	16	21
272	15	21
273	14	21
274	15	21
275	18	21
276	20	21
277	18	21
278	15	21
279	13	21
280	14	21
281	14	21
282	15	21
283	18	21
284	17	21
285	16	21
286	20	21
287	15	21
288	13	21
289	16	21
290	19	21
291	17	21
292	18	21
293	13	21
294	17	21
295	12	21
296	14	21
297	11	21
298	14	21
299	10	21
300	15	21
301	18	21
302	18	21
303	17	21
