random	n_interactions	number_observed
1	13	32
2	29	32
3	18	32
4	19	32
5	15	32
6	16	32
7	15	32
8	17	32
9	17	32
10	14	32
11	20	32
12	15	32
13	16	32
14	12	32
15	17	32
16	20	32
17	14	32
18	21	32
19	15	32
20	22	32
21	16	32
22	17	32
23	10	32
24	23	32
25	14	32
26	12	32
27	13	32
28	19	32
29	19	32
30	16	32
31	16	32
32	16	32
33	22	32
34	19	32
35	14	32
36	10	32
37	15	32
38	15	32
39	11	32
40	19	32
41	19	32
42	14	32
43	15	32
44	17	32
45	15	32
46	10	32
47	8	32
48	14	32
49	19	32
50	23	32
51	14	32
52	16	32
53	12	32
54	13	32
55	14	32
56	14	32
57	14	32
58	25	32
59	10	32
60	15	32
61	12	32
62	14	32
63	16	32
64	19	32
65	14	32
66	16	32
67	17	32
68	14	32
69	17	32
70	14	32
71	15	32
72	24	32
73	14	32
74	15	32
75	21	32
76	17	32
77	18	32
78	17	32
79	13	32
80	15	32
81	33	32
82	13	32
83	11	32
84	8	32
85	15	32
86	13	32
87	15	32
88	20	32
89	17	32
90	12	32
91	11	32
92	14	32
93	18	32
94	9	32
95	10	32
96	15	32
97	12	32
98	14	32
99	9	32
100	17	32
101	13	32
102	13	32
103	9	32
104	9	32
105	14	32
106	17	32
107	13	32
108	15	32
109	23	32
110	9	32
111	20	32
112	18	32
113	16	32
114	10	32
115	15	32
116	21	32
117	15	32
118	15	32
119	21	32
120	9	32
121	15	32
122	22	32
123	14	32
124	16	32
125	15	32
126	10	32
127	14	32
128	21	32
129	11	32
130	13	32
131	13	32
132	16	32
133	14	32
134	14	32
135	17	32
136	13	32
137	29	32
138	20	32
139	13	32
140	12	32
141	14	32
142	19	32
143	12	32
144	9	32
145	17	32
146	19	32
147	13	32
148	16	32
149	10	32
150	21	32
151	20	32
152	7	32
153	13	32
154	11	32
155	11	32
156	16	32
157	14	32
158	15	32
159	13	32
160	14	32
161	17	32
162	12	32
163	23	32
164	19	32
165	19	32
166	15	32
167	21	32
168	21	32
169	18	32
170	16	32
171	15	32
172	18	32
173	23	32
174	16	32
175	6	32
176	21	32
177	14	32
178	13	32
179	13	32
180	21	32
181	20	32
182	12	32
183	21	32
184	12	32
185	21	32
186	16	32
187	12	32
188	14	32
189	19	32
190	13	32
191	17	32
192	12	32
193	19	32
194	13	32
195	10	32
196	15	32
197	21	32
198	25	32
199	8	32
200	20	32
201	13	32
202	12	32
203	10	32
204	10	32
205	14	32
206	18	32
207	15	32
208	12	32
209	19	32
210	14	32
211	15	32
212	16	32
213	10	32
214	10	32
215	11	32
216	12	32
217	10	32
218	13	32
219	14	32
220	18	32
221	19	32
222	19	32
223	15	32
224	19	32
225	19	32
226	15	32
227	13	32
228	16	32
229	12	32
230	25	32
231	19	32
232	13	32
233	12	32
234	15	32
235	10	32
236	10	32
237	15	32
238	11	32
239	21	32
240	13	32
241	15	32
242	23	32
243	13	32
244	16	32
245	12	32
246	15	32
247	16	32
248	13	32
249	23	32
250	12	32
251	16	32
252	17	32
253	10	32
254	11	32
255	16	32
256	20	32
257	17	32
258	14	32
259	12	32
260	16	32
261	12	32
262	15	32
263	20	32
264	14	32
265	12	32
266	14	32
267	18	32
268	20	32
269	16	32
270	16	32
271	19	32
272	15	32
273	14	32
274	14	32
275	17	32
276	18	32
277	15	32
278	14	32
279	15	32
280	16	32
281	13	32
282	15	32
283	9	32
284	17	32
285	22	32
286	15	32
287	17	32
288	13	32
289	16	32
290	18	32
291	13	32
292	13	32
293	21	32
294	11	32
295	17	32
296	26	32
297	22	32
298	17	32
299	11	32
300	11	32
301	20	32
302	17	32
303	18	32
304	19	32
305	26	32
306	24	32
307	14	32
308	23	32
309	12	32
310	15	32
311	13	32
312	10	32
313	18	32
314	17	32
315	15	32
316	11	32
317	21	32
318	8	32
319	20	32
320	11	32
321	13	32
322	18	32
323	17	32
324	13	32
325	20	32
326	12	32
327	11	32
328	21	32
329	17	32
330	19	32
331	17	32
332	17	32
333	17	32
334	14	32
335	16	32
336	22	32
337	12	32
338	26	32
339	20	32
340	14	32
341	10	32
342	17	32
343	18	32
344	11	32
345	16	32
346	12	32
347	13	32
348	21	32
349	18	32
350	13	32
351	10	32
352	15	32
353	24	32
354	11	32
355	10	32
356	14	32
357	17	32
358	25	32
359	10	32
360	12	32
361	23	32
362	15	32
363	20	32
364	17	32
365	15	32
366	17	32
367	14	32
368	10	32
369	23	32
370	18	32
371	17	32
372	12	32
373	16	32
374	15	32
375	11	32
376	22	32
377	16	32
378	12	32
379	13	32
380	19	32
381	20	32
382	14	32
383	24	32
384	17	32
385	18	32
386	21	32
387	10	32
388	27	32
389	13	32
390	17	32
391	23	32
392	8	32
393	18	32
394	16	32
395	10	32
396	15	32
397	13	32
398	13	32
399	26	32
400	17	32
401	14	32
402	14	32
403	24	32
404	12	32
405	16	32
406	14	32
407	15	32
408	18	32
409	15	32
410	10	32
411	11	32
412	8	32
413	14	32
414	16	32
415	28	32
416	13	32
417	15	32
418	14	32
419	21	32
420	15	32
421	11	32
422	15	32
423	13	32
424	13	32
425	12	32
426	20	32
427	15	32
428	13	32
429	22	32
430	14	32
431	16	32
432	19	32
433	17	32
434	21	32
435	22	32
436	15	32
437	15	32
438	13	32
439	15	32
440	13	32
441	16	32
442	22	32
443	18	32
444	12	32
445	14	32
446	19	32
447	21	32
448	13	32
449	16	32
450	18	32
451	20	32
452	25	32
453	16	32
454	30	32
455	15	32
456	18	32
457	16	32
458	16	32
459	12	32
460	10	32
461	17	32
462	18	32
463	12	32
464	19	32
465	18	32
466	17	32
467	15	32
468	15	32
469	18	32
470	13	32
471	12	32
472	16	32
473	13	32
474	16	32
475	15	32
476	16	32
477	18	32
478	17	32
479	15	32
480	15	32
481	17	32
482	14	32
483	18	32
484	17	32
485	13	32
486	24	32
487	16	32
488	16	32
489	20	32
490	16	32
491	14	32
492	13	32
493	15	32
494	23	32
495	14	32
496	14	32
497	11	32
498	21	32
499	25	32
500	15	32
501	7	32
502	13	32
503	18	32
504	12	32
505	12	32
506	11	32
507	17	32
508	16	32
509	16	32
510	14	32
511	10	32
512	10	32
513	18	32
514	12	32
515	13	32
516	15	32
517	15	32
518	15	32
