symbol1	symbol2	experimental	database	textmining	combined_score	gene1	gene2	ID	gene	pp
BRCA2	BRCA1	567	800	920	992	ENSP00000369497	ENSP00000418960	BRCA2BRCA1	BRCA2	pp
APEX1	EP300	483	0	637	804	ENSP00000216714	ENSP00000263253	EP300APEX1	APEX1	pp
EP300	BRCA1	483	0	763	872	ENSP00000263253	ENSP00000418960	EP300BRCA1	EP300	pp
HMG20B	BRCA2	483	0	857	922	ENSP00000328269	ENSP00000369497	HMG20BBRCA2	HMG20B	pp
MLH1	BRCA1	644	0	797	924	ENSP00000231790	ENSP00000418960	MLH1BRCA1	MLH1	pp
MLH1	EXO1	628	600	959	993	ENSP00000231790	ENSP00000355506	MLH1EXO1	MLH1	pp
MSH2	BRCA1	505	0	806	899	ENSP00000233146	ENSP00000418960	MSH2BRCA1	MSH2	pp
MSH2	EXO1	565	600	941	988	ENSP00000233146	ENSP00000355506	MSH2EXO1	MSH2	pp
MLH1	MSH2	675	600	571	939	ENSP00000231790	ENSP00000233146	MSH2MLH1	MLH1	pp
MSH3	EXO1	377	600	808	947	ENSP00000265081	ENSP00000355506	MSH3EXO1	MSH3	pp
MLH1	MSH3	615	600	953	992	ENSP00000231790	ENSP00000265081	MSH3MLH1	MLH1	pp
MSH2	MSH3	973	800	953	999	ENSP00000233146	ENSP00000265081	MSH3MSH2	MSH2	pp
ACTL6A	NFRKB	483	900	0	946	ENSP00000397552	ENSP00000436926	NFRKBACTL6A	ACTL6A	pp
PALB2	BRCA1	680	600	914	987	ENSP00000261584	ENSP00000418960	PALB2BRCA1	PALB2	pp
PALB2	BRCA2	933	900	947	999	ENSP00000261584	ENSP00000369497	PALB2BRCA2	PALB2	pp
RAD51	BRCA1	664	900	912	996	ENSP00000372088	ENSP00000418960	RAD51BRCA1	RAD51	pp
BRCA2	RAD51	936	900	951	999	ENSP00000369497	ENSP00000372088	RAD51BRCA2	BRCA2	pp
PALB2	RAD51	483	600	894	976	ENSP00000261584	ENSP00000372088	RAD51PALB2	PALB2	pp
KANSL1	RBBP5	270	900	0	923	ENSP00000262419	ENSP00000264515	RBBP5KANSL1	KANSL1	pp
RBBP5	PAXIP1	507	900	597	978	ENSP00000264515	ENSP00000384048	RBBP5PAXIP1	RBBP5	pp
EXO1	RECQL	0	0	835	834	ENSP00000355506	ENSP00000416739	RECQLEXO1	EXO1	pp
MAD2L2	REV3L	954	900	953	999	ENSP00000235310	ENSP00000351697	REV3LMAD2L2	MAD2L2	pp
RIF1	PAXIP1	0	800	172	827	ENSP00000243326	ENSP00000384048	RIF1PAXIP1	RIF1	pp
SETD1A	RBBP5	886	900	945	999	ENSP00000262519	ENSP00000264515	SETD1ARBBP5	SETD1A	pp
SMC2	NCAPD2	984	900	717	999	ENSP00000286398	ENSP00000325017	SMC2NCAPD2	SMC2	pp
SMC2	NCAPG2	539	800	177	917	ENSP00000286398	ENSP00000387007	SMC2NCAPG2	SMC2	pp
TP53BP1	BRCA1	542	900	889	994	ENSP00000371475	ENSP00000418960	TP53BP1BRCA1	TP53BP1	pp
MAD2L2	TP53BP1	405	0	715	823	ENSP00000235310	ENSP00000371475	TP53BP1MAD2L2	MAD2L2	pp
TP53BP1	PAXIP1	504	600	914	981	ENSP00000371475	ENSP00000384048	TP53BP1PAXIP1	TP53BP1	pp
RIF1	TP53BP1	542	600	742	948	ENSP00000243326	ENSP00000371475	TP53BP1RIF1	RIF1	pp
TRRAP	ACTL6A	926	900	62	992	ENSP00000352925	ENSP00000397552	TRRAPACTL6A	TRRAP	pp
TRRAP	NFRKB	0	900	0	900	ENSP00000352925	ENSP00000436926	TRRAPNFRKB	TRRAP	pp
