random	n_interactions	number_observed
1	7	16
2	8	16
3	8	16
4	11	16
5	8	16
6	10	16
7	3	16
8	10	16
9	9	16
10	10	16
11	5	16
12	11	16
13	8	16
14	9	16
15	13	16
16	12	16
17	6	16
18	7	16
19	11	16
20	7	16
21	10	16
22	12	16
23	10	16
24	11	16
25	5	16
26	9	16
27	8	16
28	6	16
29	6	16
30	5	16
31	11	16
32	10	16
33	5	16
34	11	16
35	11	16
36	10	16
37	7	16
38	14	16
39	9	16
40	13	16
41	10	16
42	17	16
43	9	16
44	7	16
45	10	16
46	10	16
47	12	16
48	8	16
49	17	16
50	12	16
51	7	16
52	12	16
53	15	16
54	9	16
55	12	16
56	9	16
57	15	16
58	14	16
59	7	16
60	13	16
61	7	16
62	11	16
63	14	16
64	9	16
65	11	16
66	16	16
67	10	16
68	10	16
69	12	16
70	7	16
71	9	16
72	12	16
73	6	16
74	8	16
75	11	16
76	4	16
77	5	16
78	9	16
79	8	16
80	6	16
81	11	16
82	7	16
83	7	16
84	22	16
85	14	16
86	10	16
87	12	16
88	8	16
89	12	16
90	13	16
91	8	16
92	12	16
93	8	16
94	14	16
95	13	16
96	13	16
97	16	16
98	5	16
99	8	16
100	7	16
101	12	16
102	8	16
103	8	16
104	10	16
105	8	16
106	10	16
107	10	16
108	12	16
109	15	16
110	12	16
111	15	16
112	11	16
113	6	16
114	10	16
115	17	16
116	10	16
117	4	16
118	10	16
119	10	16
120	7	16
121	6	16
122	10	16
123	5	16
124	8	16
125	6	16
126	11	16
127	11	16
128	11	16
129	10	16
130	12	16
131	10	16
132	6	16
133	7	16
134	8	16
135	9	16
136	13	16
137	13	16
138	10	16
139	12	16
140	6	16
141	10	16
142	11	16
143	5	16
144	9	16
145	7	16
146	11	16
147	10	16
148	11	16
149	9	16
150	12	16
151	11	16
152	6	16
153	12	16
154	14	16
155	12	16
156	6	16
157	7	16
158	9	16
159	7	16
160	5	16
161	13	16
162	11	16
163	6	16
164	8	16
165	7	16
166	11	16
167	11	16
168	14	16
169	12	16
170	12	16
171	6	16
172	10	16
173	10	16
174	8	16
175	9	16
176	12	16
177	9	16
178	5	16
179	8	16
180	6	16
181	14	16
182	12	16
183	11	16
184	10	16
185	8	16
186	13	16
187	8	16
188	5	16
189	10	16
190	14	16
191	10	16
192	8	16
193	8	16
194	10	16
195	11	16
196	12	16
197	12	16
198	12	16
199	8	16
200	11	16
201	8	16
202	16	16
203	10	16
204	12	16
205	9	16
206	4	16
207	7	16
208	7	16
209	8	16
210	9	16
211	7	16
212	8	16
213	9	16
214	9	16
215	9	16
216	5	16
217	8	16
218	10	16
219	10	16
220	8	16
221	9	16
222	9	16
223	11	16
224	11	16
225	12	16
226	8	16
227	6	16
228	6	16
229	8	16
230	9	16
231	9	16
232	9	16
233	10	16
234	12	16
235	11	16
236	8	16
237	12	16
238	8	16
239	11	16
240	9	16
241	7	16
242	9	16
243	12	16
244	12	16
245	13	16
246	11	16
247	12	16
248	6	16
249	11	16
250	5	16
251	9	16
252	13	16
253	10	16
254	12	16
255	15	16
256	15	16
257	5	16
258	18	16
259	9	16
260	7	16
261	10	16
262	15	16
263	10	16
264	8	16
265	12	16
266	12	16
267	12	16
268	15	16
269	11	16
270	10	16
271	7	16
272	12	16
273	10	16
274	8	16
275	10	16
276	17	16
277	10	16
278	10	16
279	10	16
280	16	16
281	12	16
282	8	16
283	12	16
284	10	16
285	12	16
286	10	16
287	6	16
288	6	16
289	7	16
290	14	16
291	5	16
292	8	16
293	11	16
294	19	16
295	5	16
296	9	16
297	7	16
298	10	16
299	3	16
300	8	16
301	13	16
302	8	16
303	12	16
304	8	16
305	7	16
306	9	16
307	9	16
308	9	16
309	6	16
310	6	16
311	14	16
312	12	16
313	12	16
314	11	16
315	6	16
316	9	16
317	7	16
318	10	16
319	9	16
320	5	16
